tweet,pred
"Political opponents of BJP are openly abusing Modi Anti-BJP media is freely spreading rumors about the government Social media is ceaselessly circulating jokes on Modi   If this is Emergency, Rahul Gandhi is the most intelligent Indian & Kejriwal is the most dedicated politician.",0.09507159888744354
Glad that you shared your views Priya.   I invite you all to express your opinions in the #PeoplesPulse section of the ‘Narendra Modi Mobile App.' https://t.co/DgNBmfMnP9,0.9401944875717163
"The sophisticated n elite Cong leader Mani Shankar Aiyar declares Modi is a snake, scorpion & a dirty man. How many opeds by Eminent Journalists did we read in ⁦@washingtonpost⁩ against choicest abuses hurled at ⁦@narendramodi⁩ ? #SushmaSwaraj  https://t.co/4pzvHa7Uzb",0.22971124947071075
Hey @htTweets  Either you point out my tweet in which I was abusive to Sushma Swaraj or  you apologise & delete your Fake article  If not then ready to face FIR & defamation suit from me  https://t.co/saPiIAR1Fn,0.18741334974765778
"The insufferable arrogance of the BJP campaigners accusing their critics of ""small-mindedness"". Why ask for Hindu votes if this whole term in power on the strength of Hindu votes you have only betrayed the Hindu cause & intend to do so the next term after hoodwinking them again? https://t.co/XRm6tx7QKE",0.1382564902305603
Hey @htTweets  Difference of Opinion is not Trolling Expressing opinion & Countering anyone's lies is not Trolling  Can you point out one tweet of mine which was abusive to her. My tweets mentioning her raised valid points on the passport controversy  https://t.co/saPiIAR1Fn,0.10812529921531677
"#ModiKillingDemocracy Saheb says a Jumla: ""Criticise me! Criticism strengthens Democracy""  On the flip side, BJP lawmaker warns: ""Draw a line or else...!"" Enough said about the current state of Democracy! https://t.co/gXpshoYqXm",0.657047688961029
"Ex-serviceman accuses BJP MLA of kidnapping daughter in J&K.  Now, Girl appeared before Media & said: 1) No one kidnapped me. 2) I'm living with my friend. 3) My family are supporters of PDP & may be that's reason. 4) My family is also forcing me to marry someone against my wish.",0.07763085514307022
On Newsroom at 10 PM Are right-wing trolls a Frankenstein monster that’s now out of control? Why is BJP not acting against those supporters who are openly accusing @SushmaSwaraj of minority appeasement? Did @MEAIndia err in transferring a passport officer without a probe?,0.015882330015301704
#KherkiDaulatoll  @nitin_gadkari sir to resolve this issue you have all people from different department belong to BJP gov .. aab to excuse na de sir and provide use a concrete answer about removing of Thai toll plaza   Nagpur konto city of flyover kar Diya  ..Gurgaon bhi dekh lo,0.3439422845840454
The Biggest Organised Loot & Legalized Plunder. Dirty Politicians of Bjp Are Looting The Nation In The Name Of Nationalism. #BharatBachao https://t.co/WFnVSVUfNF,0.17226308584213257
"Dear Fellow Indians and my suffering #Mumbaikar, the real #emergency that Narendra Modi will not talk to you about. Just see the state of roads in India’s most expensive real estate governed by #BJP -SS for the last 25 years.#ModiKillingDemocracy https://t.co/hystp8TqM8",0.035295356065034866
"Now, Siddhartha Bhattacharya decides not to distribute scooty as HS Students mostly fall into under 18 age group, and are unable to carry the price of Petrol. Thus, he decides to give back cycles now. Does this indicates that BJP has broken it’s own manifesto?",0.04492541030049324
"The man who tweeted filth against Sushma Swaraj, for helping an inter-faith couple obtain passports, is followed by Modi and 40 other BJP MPs.  Not a single BJP spokesperson has commented against the filth or in favour of Sushma.  Is Modi leading the charge of the Sanghi brigade?",0.027369791641831398
"Because many many of those supporters of BJP are not on payroll of party. So, they accuse when wrong is being done.  Majority of journalists are on one or the other political party payroll and won't understand it.   Jai Ho. https://t.co/SuTRgoE2KS",0.06954681873321533
"The man who tweeted filth against Sushma Swaraj, for helping an inter-faith couple obtain passports, is followed by Modi and 40 other BJP MPs.  Not a single BJP spokesperson has commented against the filth or in favour of Sushma.  Is Modi leading the charge of the Sanghi brigade?",0.027369791641831398
"Happy to see ugly tweets making fun of @SushmaSwaraj’s kidney ailment making the front page, but did not see any outrage against this tweet by a ‘journalist’, only some gleeful titters! https://t.co/c6if4llCV2",0.175484299659729
"Ex-serviceman accuses BJP MLA of kidnapping daughter in J&K.  Now, Girl appeared before Media & said: 1) No one kidnapped me. 2) I'm living with my friend. 3) My family are supporters of PDP & may be that's reason. 4) My family is also forcing me to marry someone against my wish.",0.07763085514307022
"Happy to see ugly tweets making fun of @SushmaSwaraj’s kidney ailment making the front page, but did not see any outrage against this tweet by a ‘journalist’, only some gleeful titters! https://t.co/c6if4llCV2",0.175484299659729
All BJP women leaders must be ready to become victims of the the misogyny that they have supported @bainjal write.. @SushmaSwaraj may be a victim but she was happily and quietly riding the tiger who has now thrown her off its back and is snarling at her. https://t.co/yUjrKC7W0t,0.01043324451893568
